SectionName,SectionTimeLimitMinutes,QuestionUniqueID,QuestionNumberInSection,PassageOrSetID,PassageOrSetContent,QuestionPrompt,OptionAText,OptionBText,OptionCText,OptionDText,OptionAValue,OptionBValue,OptionCValue,OptionDValue,CorrectAnswerValue,QuestionType,Topic,SubTopic,DifficultyLevelPredicted,ConceptTested,DetailedTags,IsTITA,SetID,CognitiveSkillLevel
LRDI,40,LRDI_Mock1_11,11,LRDI_Set3,"A game called ""LetterShift"" involves transforming a 5-letter word using only the letters A, B, C, D, E.
Each position is numbered 1 to 5.
A transformation step applies rules in order:
1. If position is prime (2,3,5), shift forward by 2 in the alphabet (A→C, B→D, C→E, D→A, E→B).
2. If letter is a vowel (A,E) and position is not prime, shift backward by 1 (A→E, E→D).
3. If letter is a consonant immediately to the left of another consonant and Rule 1 did not apply, shift forward by 1 (A→B, B→C, C→D, D→E, E→A).
4. Otherwise, no change.","If the starting word is ""BACED"", what is the word after one transformation step?",CCECA,DBCCD,DAAED,EBACD,A,B,C,D,A,Logical Reasoning,Data Interpretation and Logical Reasoning,Rule-Based Transformation,Medium,,,FALSE,LRDI_Set3,
LRDI,40,LRDI_Mock1_12,12,LRDI_Set3,"A game called ""LetterShift"" involves transforming a 5-letter word using only the letters A, B, C, D, E.
Each position is numbered 1 to 5.
A transformation step applies rules in order:
1. If position is prime (2,3,5), shift forward by 2 in the alphabet (A→C, B→D, C→E, D→A, E→B).
2. If letter is a vowel (A,E) and position is not prime, shift backward by 1 (A→E, E→D).
3. If letter is a consonant immediately to the left of another consonant and Rule 1 did not apply, shift forward by 1 (A→B, B→C, C→D, D→E, E→A).
4. Otherwise, no change.","If the word after one transformation step is ""AEAEA"", which of the following could have been the original word?",CCCCC,ECECE,CAECA,BABAB,A,B,C,D,,Logical Reasoning,Data Interpretation and Logical Reasoning,Rule-Based Transformation,Medium,,,FALSE,LRDI_Set3,
LRDI,40,LRDI_Mock1_13,13,LRDI_Set3,"A game called ""LetterShift"" involves transforming a 5-letter word using only the letters A, B, C, D, E.
Each position is numbered 1 to 5.
A transformation step applies rules in order:
1. If position is prime (2,3,5), shift forward by 2 in the alphabet (A→C, B→D, C→E, D→A, E→B).
2. If letter is a vowel (A,E) and position is not prime, shift backward by 1 (A→E, E→D).
3. If letter is a consonant immediately to the left of another consonant and Rule 1 did not apply, shift forward by 1 (A→B, B→C, C→D, D→E, E→A).
4. Otherwise, no change.","If the starting word is ""CEDAB"", how many letters change in the first transformation step?",2,3,4,5,A,B,C,D,D,Logical Reasoning,Data Interpretation and Logical Reasoning,Rule-Based Transformation,Medium,,,FALSE,LRDI_Set3,
LRDI,40,LRDI_Mock1_14,14,LRDI_Set3,"A game called ""LetterShift"" involves transforming a 5-letter word using only the letters A, B, C, D, E.
Each position is numbered 1 to 5.
A transformation step applies rules in order:
1. If position is prime (2,3,5), shift forward by 2 in the alphabet (A→C, B→D, C→E, D→A, E→B).
2. If letter is a vowel (A,E) and position is not prime, shift backward by 1 (A→E, E→D).
3. If letter is a consonant immediately to the left of another consonant and Rule 1 did not apply, shift forward by 1 (A→B, B→C, C→D, D→E, E→A).
4. Otherwise, no change.","If the starting word is ""BBBAD"" and it undergoes two transformation steps, what is the word after the second step?",DDBCA,EEDAB,CDAAE,BBDCA,A,B,C,D,C,Logical Reasoning,Data Interpretation and Logical Reasoning,Rule-Based Transformation,Medium,,,FALSE,LRDI_Set3,
LRDI,40,LRDI_Mock1_15,15,LRDI_Set3,"A game called ""LetterShift"" involves transforming a 5-letter word using only the letters A, B, C, D, E.
Each position is numbered 1 to 5.
A transformation step applies rules in order:
1. If position is prime (2,3,5), shift forward by 2 in the alphabet (A→C, B→D, C→E, D→A, E→B).
2. If letter is a vowel (A,E) and position is not prime, shift backward by 1 (A→E, E→D).
3. If letter is a consonant immediately to the left of another consonant and Rule 1 did not apply, shift forward by 1 (A→B, B→C, C→D, D→E, E→A).
4. Otherwise, no change.","A word transforms to ""DAXEC"" after one step, where X is unknown. If the original word was ""BEZAE"", where Z is unknown, what is X?",A,B,C,D,A,B,C,D,,Logical Reasoning,Data Interpretation and Logical Reasoning,Rule-Based Transformation,Medium,,,FALSE,LRDI_Set3,
LRDI,40,LRDI_Mock1_16,16,LRDI_Set4,"A university committee must be formed with exactly 5 members from eight eligible professors:
Arts: A, B, C; Science: S, T, U; Engineering: X, Y.
Constraints:
- At least one professor from each discipline.
- If A is selected, S must be selected.
- If B is selected, X cannot be selected.
- C and T cannot both be selected.
- If U is selected, exactly one Arts professor must be selected.
- Y can only be selected if T is also selected.
- At most two professors from Science can be selected.","If Professor U is selected for the committee, which professor MUST also be selected?",Professor A,Professor X,Professor S,Professor C,A,B,C,D,,Logical Reasoning,Data Interpretation and Logical Reasoning,Selection & Combinations,Medium,,,FALSE,LRDI_Set4,
LRDI,40,LRDI_Mock1_17,17,LRDI_Set4,"A university committee must be formed with exactly 5 members from eight eligible professors:
Arts: A, B, C; Science: S, T, U; Engineering: X, Y.
Constraints:
- At least one professor from each discipline.
- If A is selected, S must be selected.
- If B is selected, X cannot be selected.
- C and T cannot both be selected.
- If U is selected, exactly one Arts professor must be selected.
- Y can only be selected if T is also selected.
- At most two professors from Science can be selected.",Which combination of professors is NOT a valid committee?,"A, S, U, X, C","B, C, S, T, Y","A, S, T, X, Y","C, S, U, X, B",A,B,C,D,A,Logical Reasoning,Data Interpretation and Logical Reasoning,Selection & Combinations,Medium,,,FALSE,LRDI_Set4,
LRDI,40,LRDI_Mock1_18,18,LRDI_Set4,"A university committee must be formed with exactly 5 members from eight eligible professors:
Arts: A, B, C; Science: S, T, U; Engineering: X, Y.
Constraints:
- At least one professor from each discipline.
- If A is selected, S must be selected.
- If B is selected, X cannot be selected.
- C and T cannot both be selected.
- If U is selected, exactly one Arts professor must be selected.
- Y can only be selected if T is also selected.
- At most two professors from Science can be selected.","If B and Y are selected, who are the other three members in a valid committee?","A, S, T","C, S, U","A, C, T","S, U, T",A,B,C,D,A,Logical Reasoning,Data Interpretation and Logical Reasoning,Selection & Combinations,Medium,,,FALSE,LRDI_Set4,
LRDI,40,LRDI_Mock1_19,19,LRDI_Set4,"A university committee must be formed with exactly 5 members from eight eligible professors:
Arts: A, B, C; Science: S, T, U; Engineering: X, Y.
Constraints:
- At least one professor from each discipline.
- If A is selected, S must be selected.
- If B is selected, X cannot be selected.
- C and T cannot both be selected.
- If U is selected, exactly one Arts professor must be selected.
- Y can only be selected if T is also selected.
- At most two professors from Science can be selected.","If exactly one Arts professor is C, which statement MUST be true?",S and U selected,X and S selected,S selected and Y not selected,U selected and X not selected,A,B,C,D,C,Logical Reasoning,Data Interpretation and Logical Reasoning,Selection & Combinations,Medium,,,FALSE,LRDI_Set4,
LRDI,40,LRDI_Mock1_20,20,LRDI_Set4,"A university committee must be formed with exactly 5 members from eight eligible professors:
Arts: A, B, C; Science: S, T, U; Engineering: X, Y.
Constraints:
- At least one professor from each discipline.
- If A is selected, S must be selected.
- If B is selected, X cannot be selected.
- C and T cannot both be selected.
- If U is selected, exactly one Arts professor must be selected.
- Y can only be selected if T is also selected.
- At most two professors from Science can be selected.","If X and Y are both selected, which professor CANNOT be on the committee?",Professor A,Professor C,Professor S,Professor U,A,B,C,D,D,Logical Reasoning,Data Interpretation and Logical Reasoning,Selection & Combinations,Medium,,,FALSE,LRDI_Set4,
