CognitiveSkillLevel,ConceptTested,CorrectAnswerValue,DetailedTags,DifficultyLevelPredicted,IsTITA,OptionAText,OptionAValue,OptionBText,OptionBValue,OptionCText,OptionCValue,OptionDText,OptionDValue,PassageOrSetContent,PassageOrSetID,QuestionNumberInSection,QuestionPrompt,QuestionType,QuestionUniqueID,SectionName,SectionTimeLimitMinutes,SetID,SolutionExplanation,SubTopic,Topic
,Number Systems,B,"Factorials, Remainders, Modular arithmetic (mod 36), Sum of series of factorials",Hard,False,0,A,9,B,17,C,25,D,,,11,What is the remainder when N = (1!)³ + (2!)³ + (3!)³ + (4!)³ + (5!)³ + ... + (100!)³ is divided by 36?,MCQ,739204995,Part 1: All Questions,,MockSet1_QA,"We need to find the remainder of N when divided by 36.
For n ≥ 6, n! contains the factors 4 and 9 (since 6! = 720 = 20 × 36), so n! is a multiple of 36. Thus, (n!)³ is also a multiple of 36, and its remainder is 0.
We only need to check the terms from n=1 to n=5:
• (1!)³ = 1³ = 1 ≡ 1 (mod 36)
• (2!)³ = 2³ = 8 ≡ 8 (mod 36)
• (3!)³ = 6³ = 216. Since 216 = 6 × 36, the remainder is 0.
• (4!)³ = 24³. Since 24² = 576 = 16 × 36, 24² is divisible by 36. Therefore, 24³ is also divisible by 36. The remainder is 0.
• (5!)³ = 120³. Since 120 = 3 × 36 + 12, 120 ≡ 12 (mod 36). Then 120³ ≡ 12³ (mod 36). 12³ = 1728 = 48 × 36, so 120³ is divisible by 36. The remainder is 0.
Sum of remainders = 1 + 8 + 0 + 0 + 0 + ... = 9.
The remainder is 9.
The correct option is (B).",Number Systems,Algebra
,Sequences & Series (AP),2,"Arithmetic progression, Sum of n terms formula, Nth term formula",Easy,True,,,,,,,,,,,12,"The sum of the first 15 terms of an arithmetic progression is 255. If the 5th term of this progression is 11, find its common difference.",TITA,620190584,Part 1: All Questions,,MockSet1_QA,"Let the arithmetic progression have first term a and common difference d.
Sum of the first n terms S_n = n/2[2a + (n-1)d].
Given S₁₅ = 255.
15/2[2a + (15-1)d] = 15(a+7d) = 255 ⟹ a+7d = 255/15 = 17.
The n-th term T_n = a + (n-1)d.
Given the 5th term T₅ = 11 ⟹ a + (5-1)d = a+4d = 11.
We have a system of two equations:
1. a+7d = 17
2. a+4d = 11
Subtracting (2) from (1): (a+7d) - (a+4d) = 17 - 11 ⟹ 3d = 6 ⟹ d = 2.
The common difference is 2.",Sequences & Series (AP),Algebra
,Mixtures & Alligations,D,"Concentration of solutions, Acid-water mixture, Dilution by adding water, Fortification by adding concentrated solution",Hard,False,5,A,6,B,8,C,10,D,,,13,"A solution contains 25% acid. When 10 litres of water are added to this solution, the concentration of acid becomes 15%. If, to this new diluted solution, 'x' litres of a 50% acid solution are added, the final acid concentration in the mixture becomes 25%. Find the value of 'x'.",MCQ,511286173,Part 1: All Questions,,MockSet1_QA,"Let the initial volume of the solution be V litres. Acid = 0.25V.
Adding 10L water: volume V+10, acid 0.25V. New concentration: 0.25V / (V+10) = 0.15.
0.25V = 0.15V + 1.5 ⟹ 0.10V = 1.5 ⟹ V = 15 litres.
Diluted solution: volume 15+10 = 25 L. Acid 0.25 × 15 = 3.75 L.
Adding 'x' litres of 50% acid solution:
Acid added 0.50x. Total acid 3.75 + 0.50x. New total volume 25+x.
Final concentration: (3.75 + 0.50x) / (25+x) = 0.25.
3.75 + 0.50x = 0.25(25+x) = 6.25 + 0.25x.
0.25x = 2.5 ⟹ x = 10.
The correct option is (D).",Mixtures & Alligations,Arithmetic
,Logarithms,B,"Logarithm properties (power rule, change of base), Algebraic manipulation of log expressions",Hard,False,3p/(p+2),A,6p/(p+4),B,3p/(p+4),C,6p/(4-p),D,,,14,"If log₁₂ 81 = p, then log₆ 27 is equal to:",MCQ,402371762,Part 1: All Questions,,MockSet1_QA,"Given log₁₂ 81 = p ⟹ 4log₁₂ 3 = p ⟹ log₁₂ 3 = p/4.
Using the base-change formula, log_a(b) = 1/log_b(a):
1/log₃(12) = p/4
1/log₃(4×3) = p/4
1/(log₃(2²) + log₃(3)) = p/4
1/(2log₃(2) + 1) = p/4
4 = p(2log₃(2) + 1) ⟹ 4 = 2plog₃(2) + p ⟹ 2plog₃(2) = 4-p ⟹ log₃(2) = (4-p)/(2p).
We need log₆ 27 = 3log₆ 3 = 3/log₃(6) = 3/(log₃(2) + log₃(3)) = 3/(log₃(2)+1).
Substitute the expression for log₃(2):
log₆ 27 = 3 / [((4-p)/(2p)) + 1] = 3 / [(4-p+2p)/(2p)] = 3 / [(4+p)/(2p)] = 6p/(4+p).
The correct option is (B).",Logarithms,Algebra
,Quadratic Equations,B,"Roots of quadratic equation, Vieta's formulas, Symmetric functions of roots (α²+β²), Discriminant for real roots condition",Hard,False,1,A,2,B,-1,C,4,D,,,15,"If the roots of the quadratic equation x² - (k+1)x + (k²-k-2) = 0 are α and β such that α² + β² = 9, find the sum of all possible real values of k.",MCQ,393467351,Part 1: All Questions,,MockSet1_QA,"Equation x² - (k+1)x + (k²-k-2) = 0. Roots α, β.
From Vieta's formulas:
α + β = k+1.
αβ = k²-k-2.
Given α² + β² = 9.
(α+β)² - 2αβ = 9 ⟹ (k+1)² - 2(k²-k-2) = 9.
(k²+2k+1) - (2k²-2k-4) = 9.
-k² + 4k + 5 = 9 ⟹ -k² + 4k - 4 = 0 ⟹ k²-4k+4 = 0 ⟹ (k-2)² = 0.
So k=2.
For the roots α, β to be real, the discriminant must be non-negative: D ≥ 0.
D = (-(k+1))² - 4(1)(k²-k-2) ≥ 0.
(k²+2k+1) - 4k² + 4k + 8 ≥ 0.
-3k² + 6k + 9 ≥ 0 ⟹ k² - 2k - 3 ≤ 0 ⟹ (k-3)(k+1) ≤ 0 ⟹ -1 ≤ k ≤ 3.
The value k=2 is within the valid interval [-1, 3].
So, k=2 is the only possible value.
The sum of all possible real values of k is 2.
The correct option is (B).",Quadratic Equations,Algebra
,Functions & Graphs,D,"Absolute value functions, Piecewise linear functions, Graphical analysis, Number of solutions of f(x)=k",Hard,False,0,A,1,B,2,C,Infinitely many,D,,,16,Let f(x) = |x-2| + |x-4| + |x-6|. For how many distinct integer values of k does the equation f(x) = k have exactly 2 solutions?,MCQ,284552940,Part 1: All Questions,,MockSet1_QA,"The function f(x) is a piecewise linear function with critical points at x=2, 4, 6. We define f(x) for each interval:
• For x < 2: f(x) = -(x-2) - (x-4) - (x-6) = -3x + 12
• For 2 ≤ x < 4: f(x) = (x-2) - (x-4) - (x-6) = -x + 8
• For 4 ≤ x < 6: f(x) = (x-2) + (x-4) - (x-6) = x
• For x ≥ 6: f(x) = (x-2) + (x-4) + (x-6) = 3x - 12
The graph of f(x) is a V-shape (or a combination of V-shapes). The minimum value occurs at one of the critical points.
f(2) = |0| + |-2| + |-4| = 6.
f(4) = |2| + |0| + |-2| = 4.
f(6) = |4| + |2| + |0| = 6.
The minimum value of f(x) is 4, which occurs at x=4.
For the equation f(x)=k to have solutions, k must be greater than or equal to the minimum value.
If k < 4, there are 0 solutions.
If k = 4, there is 1 solution (at x=4).
If k > 4, any horizontal line y=k will intersect the graph of f(x) at two points.
For example, if 4 < k < 6, the solutions come from -x+8 = k and x = k.
If k = 6, the solutions are x=2 and x=6.
If k > 6, the solutions come from -3x+12 = k and 3x-12 = k.
The equation f(x)=k has exactly 2 solutions for all k > 4.
The integer values of k for which this is true are 5, 6, 7, 8, ...
This is an infinite set of integers.
The correct option is (D).",Functions & Graphs,Algebra
,"Geometry (Circles - Properties, Tangents)",D,"Circle properties, Tangent-radius perpendicularity, Isosceles triangle properties, Angle sum property of triangles",Hard,False,20°,A,25°,B,30°,C,40°,D,,,17,"In a circle with center O, AB is a chord. A tangent drawn at point A on the circle intersects the line BO extended (through O, away from B) at point T. If ∠OAB = 25°, find the measure of ∠ATB.",MCQ,175648529,Part 1: All Questions,,MockSet1_QA,"In △OAB, OA = OB (radii of the same circle), so it is an isosceles triangle.
Therefore, ∠OBA = ∠OAB = 25°.
The sum of angles in △OAB is 180°, so ∠AOB = 180° - (25° + 25°) = 130°.
The phrase ""line BO extended... through O, away from B"" implies that the points are collinear in the order B-O-T.
Since T, O, B are collinear, ∠AOT and ∠AOB are supplementary angles.
Therefore, ∠AOT = 180° - ∠AOB = 180° - 130° = 50°.
AT is tangent to the circle at A, so the radius OA is perpendicular to the tangent AT. Thus, ∠OAT = 90°.
In △AOT, the sum of angles is 180°.
∠ATB = ∠ATO = 180° - (∠TAO + ∠AOT) = 180° - (90° + 50°) = 180° - 140° = 40°.
The correct option is (D).","Geometry (Circles - Properties, Tangents)",Geometry & Mensuration
,"Mensuration - 3D (Volume & Surface Area: Spheres, Cones)",54,"Volume of sphere, Volume of cone, Conservation of volume (melting and recasting)",Medium,True,,,,,,,,,,,18,"A solid metallic sphere of radius 10.5 cm is melted and recast into a number of smaller identical cones, each of radius 3.5 cm and height 7 cm. Find the number of such cones formed.",TITA,966734118,Part 1: All Questions,,MockSet1_QA,"Sphere radius R = 10.5 = 21/2 cm.
Volume of sphere V_s = (4/3)πR³ = (4/3)π(21/2)³ = (4/3)π(9261/8) = 9261π/6 cm³.
Cone radius r = 3.5 = 7/2 cm, height h = 7 cm.
Volume of one cone V_c = (1/3)πr²h = (1/3)π(7/2)²(7) = (1/3)π(49/4)(7) = 343π/12 cm³.
Number of cones N = V_s / V_c = (9261π/6) / (343π/12) = (9261/6) × (12/343) = (9261 × 2) / 343.
Since 21³ = 9261 and 7³ = 343, then 9261/343 = (21/7)³ = 3³ = 27.
N = 27 × 2 = 54.
The number of cones is 54.","Mensuration - 3D (Volume & Surface Area: Spheres, Cones)",Geometry & Mensuration
,Percentages,16,"Percentage increase, Expenditure, Consumption adjustment",Easy,True,,,,,,,,,,,19,The price of petrol increased by 25%. By what percentage must a car owner reduce his consumption of petrol so that his expenditure on petrol increases by only 5%?,TITA,857829707,Part 1: All Questions,,MockSet1_QA,"Let initial Price = P, Consumption = C, Expenditure = E. So, E = P × C.
New Price P' = 1.25P.
New Expenditure E' = 1.05E = 1.05PC.
Let the new consumption be C'. The new expenditure is also E' = P' × C' = (1.25P) × C'.
So, 1.05PC = (1.25P)C'.
1.05C = 1.25C'.
C' = (1.05/1.25)C = (105/125)C = (21/25)C.
The reduction in consumption = C - C' = C - (21/25)C = (4/25)C.
Percentage reduction = [(4/25)C / C] × 100 = (4/25) × 100 = 16%.
The percentage reduction is 16.",Percentages,Arithmetic
,Time & Work,B,"Work and efficiency, Combined work, System of linear equations, Variable efficiency",Hard,False,30,A,35,B,40,C,48,D,,,20,"A and B together can complete a task in 24 days. If A works at 125% of his actual efficiency and B works at 75% of his actual efficiency, they can complete the same task in 22 days. In how many days can A alone complete the task at his actual efficiency? (Choose the closest integer if the answer is not an exact integer)",MCQ,748915296,Part 1: All Questions,,MockSet1_QA,"Let actual efficiencies be e_A, e_B. Let total work be 1 unit.
From the first condition: (e_A + e_B) × 24 = 1 ⟹ e_A + e_B = 1/24 → (1).
New efficiencies are 1.25e_A and 0.75e_B.
From the second condition: (1.25e_A + 0.75e_B) × 22 = 1 ⟹ 1.25e_A + 0.75e_B = 1/22.
(5/4)e_A + (3/4)e_B = 1/22 ⟹ 5e_A + 3e_B = 4/22 = 2/11 → (2).
Multiply equation (1) by 3: 3e_A + 3e_B = 3/24 = 1/8 → (3).
Subtract equation (3) from equation (2):
(5e_A+3e_B) - (3e_A+3e_B) = 2/11 - 1/8.
2e_A = (16-11)/88 = 5/88.
e_A = 5/176.
Time for A alone = 1/e_A = 1 / (5/176) = 176/5 = 35.2 days.
The closest integer is 35.
The correct option is (B).",Time & Work,Arithmetic
,Inequalities & Modulus (Absolute Values),4,"Absolute value inequalities, Rational function inequality, Sign analysis, Critical points, Interval method, Counting integer solutions",Hard,True,,,,,,,,,,,21,Find the number of integer solutions for the inequality (|x-3|-2)/(|x-5|-1) ≤ 0.,TITA,639010885,Part 1: All Questions,,MockSet1_QA,"The inequality is (|x-3|-2)/(|x-5|-1) ≤ 0.
Find the critical points where the numerator or denominator is zero.
Numerator: |x-3|-2 = 0 ⟹ |x-3|=2 ⟹ x-3=2 or x-3=-2 ⟹ x=5, x=1.
Denominator: |x-5|-1 = 0 ⟹ |x-5|=1 ⟹ x-5=1 or x-5=-1 ⟹ x=6, x=4.
The critical points, in order, are 1, 4, 5, 6. These points divide the number line into five intervals. The value of x cannot be 4 or 6.
We test the sign of the expression in each interval:
• Interval (-∞, 1): Let x=0. Expression = (|-3|-2)/(|-5|-1) = 1/4 > 0.
• Interval [1, 4): Let x=2. Expression = (|-1|-2)/(|-3|-1) = -1/2 < 0. This interval is part of the solution.
• Interval (4, 5]: Let x=4.5. Expression = (|1.5|-2)/(|-0.5|-1) = -0.5/-0.5 = 1 > 0.
• Interval [5, 6): Let x=5.5. Expression = (|2.5|-2)/(|-0.5|-1) = 0.5/-0.5 = -1 < 0. This interval is part of the solution.
• Interval (6, ∞): Let x=7. Expression = (|4|-2)/(|2|-1) = 2/1 > 0.
The solution set for the inequality is [1, 4) U [5, 6).
Integer solutions in [1, 4) are {1, 2, 3}.
Integer solution in [5, 6) is {5}.
The set of all integer solutions is {1, 2, 3, 5}. The number of solutions is 4.",Inequalities & Modulus (Absolute Values),Algebra
,Probability,21,"Probability without replacement, Dependent events, Sequential probability calculation",Medium,True,,,,,,,,,,,22,"A bag contains 4 red, 5 blue, and 3 green balls. Three balls are drawn one by one without replacement. The probability that the first ball drawn is red, the second is blue, and the third is green is P/Q, where P/Q is in its simplest form. Find the value of Q-P.",TITA,520106474,Part 1: All Questions,,MockSet1_QA,"Total balls = 4 Red + 5 Blue + 3 Green = 12.
The probability of drawing balls in the specific sequence Red, then Blue, then Green without replacement is calculated as follows:
P(R1, B2, G3) = P(1st is Red) × P(2nd is Blue | 1st was Red) × P(3rd is Green | 1st was Red, 2nd was Blue).
P(1st is Red) = 4/12.
After drawing one red ball, 11 balls remain: 3R, 5B, 3G.
P(2nd is Blue | 1st was Red) = 5/11.
After drawing one red and one blue, 10 balls remain: 3R, 4B, 3G.
P(3rd is Green | R1, B2) = 3/10.
Total Probability = (4/12) × (5/11) × (3/10) = (1/3) × (5/11) × (3/10) = 5 / (11 × 10) = 5/110 = 1/22.
The probability is 1/22. This is in simplest form, so P=1 and Q=22.
Q-P = 22-1 = 21.
The value is 21.",Probability,Modern Maths
