CognitiveSkillLevel,ConceptTested,CorrectAnswerValue,DetailedTags,DifficultyLevelPredicted,IsTITA,OptionAText,OptionAValue,OptionBText,OptionBValue,OptionCText,OptionCValue,OptionDText,OptionDValue,PassageOrSetContent,PassageOrSetID,QuestionNumberInSection,QuestionPrompt,QuestionType,QuestionUniqueID,SectionName,SectionTimeLimitMinutes,SetID,SolutionExplanation,SubTopic,Topic
Application,"Price Change, Consumption Change, Constant Expenditure",20,"Price Change, Consumption Change, Constant Expenditure",Easy,True,,,,,,,,,,,11,"If the price of petrol increases by 25%, by what percentage must a car owner reduce his consumption so that his expenditure on petrol remains unchanged? (Enter your answer as an integer)",TITA,Q55,Quantitative Aptitude,40,MockSet1_QA,"Let the original price be P and consumption be C. Original expenditure E = P × C.
New price P' = P × (1 + 25/100) = 1.25P.
Let new consumption be C'. New expenditure E' = P' × C' = (1.25P) × C'.
Expenditure remains unchanged, so E' = E.
(1.25P) × C' = P × C => 1.25C' = C => C' = C / 1.25 = C / (5/4) = 0.8C.
Reduction in consumption = C - C' = C - 0.8C = 0.2C.
Percentage reduction = (0.2C / C) × 100% = 20%.
The final answer is 20.",Percentages,Arithmetic
Analysis,"Rational Inequality, Wavy Curve Method, Critical Points, Integer Solutions",C,"Rational Inequality, Wavy Curve Method, Critical Points, Integer Solutions",Hard,False,4,A,5,B,6,C,7,D,,,12,Find the number of integer solutions for the inequality `(x^2 - 5x + 6) / (x^2 - x - 12) ≤ 0`.,MCQ,Q56,Quantitative Aptitude,40,MockSet1_QA,"We need to solve `(x^2 - 5x + 6) / (x^2 - x - 12) ≤ 0`.
Factorize numerator: `x^2 - 5x + 6 = (x-2)(x-3)`.
Factorize denominator: `x^2 - x - 12 = (x-4)(x+3)`.
The expression is `f(x) = (x-2)(x-3) / ((x+3)(x-4))`.
The critical points are -3, 2, 3, and 4. We note that `x ≠ -3` and `x ≠ 4`.
We analyze the sign of `f(x)` in the intervals:
-   Interval `(4, ∞)`: f(x) > 0
-   Interval `[3, 4)`: f(x) ≤ 0. Integer: 3.
-   Interval `(2, 3)`: f(x) > 0.
-   Interval `(-3, 2]`: f(x) ≤ 0. Integers: -2, -1, 0, 1, 2.
-   Interval `(-∞, -3)`: f(x) > 0.
The solution set is `x ∈ (-3, 2] U [3, 4)`.
Integer solutions are {-2, -1, 0, 1, 2} and {3}.
Total number of integer solutions = 5 + 1 = 6.
The correct option is (C).",Inequalities (Linear & Quadratic),Algebra
Analysis,"Surjective Functions, Onto Functions, Principle of Inclusion-Exclusion",C,"Surjective Functions, Onto Functions, Principle of Inclusion-Exclusion",Hard,False,120,A,140,B,150,C,160,D,,,13,"Find the number of surjective (onto) functions from a set A = {a, b, c, d, e} to a set B = {1, 2, 3}.",MCQ,Q57,Quantitative Aptitude,40,MockSet1_QA,"The number of surjective (onto) functions from a set A with n elements to a set B with m elements is given by `N = Σ (-1)^k * (m C k) * (m-k)^n` for k=0 to m.
Here, |A|=n=5 and |B|=m=3.
N = `(3C0)(3-0)^5 - (3C1)(3-1)^5 + (3C2)(3-2)^5 - (3C3)(3-3)^5`
N = `1 × 3^5 - 3 × 2^5 + 3 × 1^5 - 1 × 0^5`
N = `1 × 243 - 3 × 32 + 3 × 1 - 0`
N = `243 - 96 + 3`
N = `147 + 3 = 150`.
The correct option is (C).",Permutations & Combinations,Modern Maths
Analysis,"Half-yearly Compounding, Reinvestment, Simple Interest, Equating Maturity Values",A,"Half-yearly Compounding, Reinvestment, Simple Interest, Equating Maturity Values",Hard,False,"Rs. 49,164",A,"Rs. 50,000",B,"Rs. 50,860",C,"Rs. 51,240",D,,,14,"Mr. Sharma invested Rs. 50,000 for 3 years in a scheme that compounds interest half-yearly at a rate of 8% per annum. Mr. Verma invested an amount X for 2 years in the same scheme, then reinvested the entire maturity amount for one additional year at a simple interest rate of 10% per annum. If both Mr. Sharma and Mr. Verma end up with the same maturity value after their respective 3-year periods, what is the approximate value of X?",MCQ,Q58,Quantitative Aptitude,40,MockSet1_QA,"For Mr. Sharma: Principal P_S = 50000. Rate r = 8% p.a. compounded half-yearly.
Rate per period i = 8%/2 = 4% = 0.04. Time t = 3 years, so number of periods n = 3×2 = 6.
Maturity Amount A_S = P_S(1+i)ⁿ = 50000(1.04)⁶.
For Mr. Verma: Principal P_V = X.
Stage 1: Invested for 2 years (n₁=4 periods) in the same scheme. Amount A_V1 = X(1.04)⁴.
Stage 2: Reinvested for 1 year at 10% simple interest.
Maturity value A_V = A_V1(1 + 0.10) = X(1.04)⁴ × 1.1.
Given A_S = A_V:
`50000(1.04)^6 = X(1.04)^4 × 1.1`
`X = (50000 * (1.04)^6) / ((1.04)^4 * 1.1) = (50000 * (1.04)^2) / 1.1`
`X = (50000 * 1.0816) / 1.1 = 54080 / 1.1`
`X = 540800 / 11 ≈ 49163.63`
Approximating, X ≈ 49164.
The correct option is (A).",Compound Interest,Arithmetic
Analysis,"Trapezium Properties, Area of Trapezium, Intersection of Diagonals",C,"Trapezium Properties, Area of Trapezium, Intersection of Diagonals",Hard,False,100 sq. units,A,121 sq. units,B,144 sq. units,C,169 sq. units,D,,,15,"In a trapezium ABCD, AB is parallel to CD. The diagonals AC and BD intersect at O. If the area of triangle AOB is 25 sq. units and the area of triangle COD is 49 sq. units, what is the area of the trapezium ABCD?",MCQ,Q59,Quantitative Aptitude,40,MockSet1_QA,"Let ABCD be a trapezium with AB || CD. Diagonals intersect at O.
Area(△AOB) = 25, Area(△COD) = 49.
A property of trapeziums is that Area(△AOD) = Area(△BOC). Let this area be x.
Another property is Area(△AOB) × Area(△COD) = Area(△AOD) × Area(△BOC).
So, `25 × 49 = x × x = x^2`.
`x^2 = 1225 => x = √1225 = 35`.
So Area(△AOD) = 35 and Area(△BOC) = 35.
Area of trapezium ABCD = Area(△AOB) + Area(△COD) + Area(△AOD) + Area(△BOC).
Area(ABCD) = 25 + 49 + 35 + 35 = 74 + 70 = 144 sq. units.
The correct option is (C).",Quadrilaterals & Polygons,Geometry
Application,"Simplification of Nested Radicals, Square Root of Surds",28,"Simplification of Nested Radicals, Square Root of Surds",Medium,True,,,,,,,,,,,16,"If `√(43 - 24√3)` can be expressed in the form `a + b√k`, where a and b are integers and k is a square-free positive integer. Find the value of `a^2 + b^2 + k`.",TITA,Q60,Quantitative Aptitude,40,MockSet1_QA,"We simplify `√(43 - 24√3)`.
We look for the form `√(c - d√k)² = c - d√k`. The expression under the root should be `c² + k*d² - 2cd√k`.
Comparing `43 - 24√3` with `c² + 3d² - 2cd√3`:
`2cd = 24 => cd = 12`.
`c² + 3d² = 43`.
Test integer pairs for `cd=12`: (4,3), (6,2), etc.
If `c=4, d=3`: `4² + 3(3²) = 16 + 27 = 43`. This works.
So `43 - 24√3 = (4 - 3√3)²`.
`√(43 - 24√3) = √( (4 - 3√3)² ) = |4 - 3√3|`.
Compare 4 and 3√3: `4² = 16` and `(3√3)² = 27`. Since 16 < 27, `4 < 3√3`.
So `|4 - 3√3| = -(4 - 3√3) = 3√3 - 4`.
This is in the form `a + b√k`, with `a = -4`, `b = 3`, and `k = 3`.
k=3 is square-free. a and b are integers.
The value is `a^2 + b^2 + k = (-4)^2 + 3^2 + 3 = 16 + 9 + 3 = 28`.
The final answer is 28.",Indices & Surds,Number System
Application,"Age Problems, Linear Equations from Word Problems, Future Age Ratio",D,"Age Problems, Linear Equations from Word Problems, Future Age Ratio",Medium,False,5,A,10,B,15,C,25,D,,,17,"The present age of Rohan is 5 years more than thrice the present age of Priya. 10 years ago, Rohan's age was 5 years more than five times Priya's age then. In how many years will Rohan be twice as old as Priya?",MCQ,Q61,Quantitative Aptitude,40,MockSet1_QA,"Let Rohan's present age be R and Priya's be P.
1. `R = 3P + 5`
2. 10 years ago: `R-10 = 5(P-10) + 5 => R-10 = 5P - 45 => R = 5P - 35`.
Equating expressions for R:
`3P + 5 = 5P - 35 => 2P = 40 => P = 20` years.
Substitute P=20 into (1): `R = 3(20) + 5 = 65` years.
Let N be the years from now when Rohan is twice as old as Priya.
`65 + N = 2(20 + N)`
`65 + N = 40 + 2N => N = 25` years.
The correct option is (D).","Ratio, Proportion & Variation",Arithmetic
Application,"Recursive Function Definition, Linear Recurrence Relation, Pattern Recognition",B,"Recursive Function Definition, Linear Recurrence Relation, Pattern Recognition",Medium,False,80,A,82,B,121,C,242,D,,,18,A function `f(n)` is defined for natural numbers `n` such that `f(1) = 2` and `f(n+1) = 3f(n) - 2` for `n ≥ 1`. What is the value of `f(5)`?,MCQ,Q62,Quantitative Aptitude,40,MockSet1_QA,"Given `f(1)=2` and `f(n+1) = 3f(n) - 2`.
This is a linear recurrence relation. We can find the closed-form.
Let the fixed point be c: `c = 3c - 2 => 2c = 2 => c = 1`.
Let `g(n) = f(n) - c = f(n) - 1`.
`g(n+1) = f(n+1) - 1 = (3f(n) - 2) - 1 = 3f(n) - 3 = 3(f(n) - 1) = 3g(n)`.
`g(n)` is a geometric progression with common ratio 3.
`g(1) = f(1) - 1 = 2 - 1 = 1`.
`g(n) = g(1) * 3^(n-1) = 1 * 3^(n-1) = 3^(n-1)`.
Since `f(n) = g(n) + 1`, we have `f(n) = 3^(n-1) + 1`.
We need `f(5) = 3^(5-1) + 1 = 3^4 + 1 = 81 + 1 = 82`.
The correct option is (B).","Functions (Domain, Range, Types, Graphs, Inverse)",Algebra
Application,"Markup, Multiple Discounts, Overall Profit Calculation",D,"Markup, Multiple Discounts, Overall Profit Calculation",Easy,False,15%,A,19%,B,21%,C,23%,D,,,19,"A shopkeeper marks his goods at 50% above the cost price. He sells 40% of the goods at the marked price, 30% of the goods at a 20% discount on the marked price, and the remaining goods at a 40% discount on the marked price. What is his overall profit percentage?",MCQ,Q63,Quantitative Aptitude,40,MockSet1_QA,"Let the cost price (CP) be Rs. 100 per unit. Marked Price (MP) = 100 × 1.5 = Rs. 150.
Assume 10 units of goods. Total CP = 10 × 100 = Rs. 1000.
1. 40% (4 units) sold at MP (Rs. 150). Revenue = 4 × 150 = Rs. 600.
2. 30% (3 units) sold at 20% discount. SP = 150 × 0.8 = Rs. 120. Revenue = 3 × 120 = Rs. 360.
3. Remaining 30% (3 units) sold at 40% discount. SP = 150 × 0.6 = Rs. 90. Revenue = 3 × 90 = Rs. 270.
Total Revenue = 600 + 360 + 270 = Rs. 1230.
Total CP = Rs. 1000.
Total Profit = 1230 - 1000 = Rs. 230.
Overall Profit % = (Total Profit / Total CP) × 100 = (230 / 1000) × 100 = 23%.
The correct option is (D).","Profit, Loss & Discount",Arithmetic
Application,"Fractions of Remaining Quantity, Iterative Process, Working Backwards",63,"Fractions of Remaining Quantity, Iterative Process, Working Backwards",Medium,True,,,,,,,,,,,20,"A fruit vendor had a certain number of apples. The first customer bought half of the apples plus half an apple. The second customer bought half of the remaining apples plus half an apple. The third customer also bought half of the remaining apples plus half an apple. After this, the vendor was left with 7 apples. How many apples did the vendor initially have?",TITA,Q64,Quantitative Aptitude,40,MockSet1_QA,"This is a ""work backwards"" problem. Let R₃ = 7 be the apples left.
Before the 3rd customer (R₂ apples): The customer bought R₂/2 + 1/2.
Remaining: `R₂ - (R₂/2 + 1/2) = R₃ => R₂/2 - 1/2 = 7 => R₂/2 = 7.5 => R₂ = 15`.
Before the 2nd customer (R₁ apples):
`R₁/2 - 1/2 = R₂ => R₁/2 - 1/2 = 15 => R₁/2 = 15.5 => R₁ = 31`.
Before the 1st customer (N apples):
`N/2 - 1/2 = R₁ => N/2 - 1/2 = 31 => N/2 = 31.5 => N = 63`.
The vendor initially had 63 apples.
The final answer is 63.",Arithmetic Logic,Arithmetic
Application,"Unit Digit Calculation, Remainder Theorem Application",A,"Unit Digit Calculation, Remainder Theorem Application",Easy,False,1,A,3,B,7,C,9,D,,,21,What is the remainder when `13^2024` is divided by 10?,MCQ,Q65,Quantitative Aptitude,40,MockSet1_QA,"We need the remainder when `13^2024` is divided by 10, which is the unit digit of `13^2024`.
The unit digit is determined by the unit digit of the base, 3.
The pattern of unit digits of powers of 3 is: 3¹, 3², 3³, 3⁴ -> 3, 9, 7, 1. The cycle length is 4.
To find the unit digit of `3^2024`, we find the remainder of the exponent 2024 when divided by 4.
`2024 ÷ 4 = 506` with a remainder of 0.
A remainder of 0 corresponds to the last digit in the cycle, which is the unit digit of `3^4`.
The unit digit is 1.
The correct option is (A).",Cyclicity,Number System
Analysis,"Running Averages, System of Linear Equations, Word Problem",15,"Running Averages, System of Linear Equations, Word Problem",Hard,True,,,,,,,,,,,22,"There are four distinct positive integers w, x, y, z. The average of w and x is w+1. The average of w, x, and y is (average of w, x) + 2. The average of w, x, y, and z is (average of w, x, y) + 3. Find the difference between the largest and smallest of the four numbers.",TITA,Q66,Quantitative Aptitude,40,MockSet1_QA,"Let the four distinct positive integers be w, x, y, z.
1. Avg(w, x) = w+1: `(w+x)/2 = w+1 => w+x = 2w+2 => x = w+2`.
2. Avg(w,x,y) = Avg(w,x) + 2: `(w+x+y)/3 = (w+1)+2 = w+3 => w+x+y = 3w+9`.
   Substitute `x=w+2`: `w+(w+2)+y = 3w+9 => 2w+2+y = 3w+9 => y = w+7`.
3. Avg(w,x,y,z) = Avg(w,x,y) + 3: `(w+x+y+z)/4 = (w+3)+3 = w+6 => w+x+y+z = 4w+24`.
   Substitute `w+x+y=3w+9`: `(3w+9)+z = 4w+24 => z = w+15`.
The four numbers are w, w+2, w+7, w+15.
Since w is a positive integer, the numbers are distinct.
The smallest is w. The largest is z = w+15.
The difference = `z - w = (w+15) - w = 15`.
The final answer is 15.",Averages & Weighted Averages,Arithmetic
